Product_Line,PIM_Attribute_ID,PIM_Attribute_Name,LOV_Value_Code,LOV_Value_Name,Modified_TimeStamp,Modified_By,Version,Comments
Apparel,bratype,Bra Type,seamlessbra,Seamless bra,2016-05-21T00:00,TUL,1.7 d,
Apparel,brieftype,Brief Type,thongs,Thongs,2016-05-21T00:00,TUL,1.7 d,
Apparel,brieftype,Brief Type,trunks,Trunks,2016-05-21T00:00,TUL,1.7 d,
Apparel,brieftype,Brief Type,briefs,Briefs,2016-05-21T00:00,TUL,1.7 d,
Apparel,brieftype,Brief Type,bikini,Bikini,2016-05-21T00:00,TUL,1.7 d,
Apparel,brieftype,Brief Type,jockstrap,Jockstrap,2016-05-21T00:00,TUL,1.7 d,
Apparel,colorfamilyapparel,Color Family,beige,Beige,2016-05-21T00:00,TUL,1.7 d,
Apparel,colorfamilyapparel,Color Family,coral,Coral,2016-05-21T00:00,TUL,1.7 d,
Apparel,colorfamilyapparel,Color Family,blue,Blue,2016-05-21T00:00,TUL,1.7 d,
Apparel,colorfamilyapparel,Color Family,brown,Brown,2016-05-21T00:00,TUL,1.7 d,
Apparel,colorfamilyapparel,Color Family,gold,Gold,2016-05-21T00:00,TUL,1.7 d,
Apparel,colorfamilyapparel,Color Family,green,Green,2016-05-21T00:00,TUL,1.7 d,
Apparel,colorfamilyapparel,Color Family,grey,Grey,2016-05-21T00:00,TUL,1.7 d,
Apparel,colorfamilyapparel,Color Family,khaki,Khaki,2016-05-21T00:00,TUL,1.7 d,
Apparel,colorfamilyapparel,Color Family,maroon,Maroon,2016-05-21T00:00,TUL,1.7 d,
Apparel,colorfamilyapparel,Color Family,multi,Multi,2016-05-21T00:00,TUL,1.7 d,
Apparel,colorfamilyapparel,Color Family,navy,Navy,2016-05-21T00:00,TUL,1.7 d,
Apparel,colorfamilyapparel,Color Family,orange,Orange,2016-05-21T00:00,TUL,1.7 d,
Apparel,colorfamilyapparel,Color Family,peach,Peach,2016-05-21T00:00,TUL,1.7 d,
Apparel,colorfamilyapparel,Color Family,pink,Pink,2016-05-21T00:00,TUL,1.7 d,
Apparel,colorfamilyapparel,Color Family,purple,Purple,2016-05-21T00:00,TUL,1.7 d,
Apparel,colorfamilyapparel,Color Family,red,Red,2016-05-21T00:00,TUL,1.7 d,
Apparel,colorfamilyapparel,Color Family,silver,Silver,2016-05-21T00:00,TUL,1.7 d,
Apparel,colorfamilyapparel,Color Family,tan,Tan,2016-05-21T00:00,TUL,1.7 d,
Apparel,colorfamilyapparel,Color Family,turquoise,Turquoise,2016-05-21T00:00,TUL,1.7 d,
Apparel,colorfamilyapparel,Color Family,white,White,2016-05-21T00:00,TUL,1.7 d,
Apparel,colorfamilyapparel,Color Family,yellow,Yellow,2016-05-21T00:00,TUL,1.7 d,
Apparel,colorfamilyapparel,Color Family,pewter,Pewter,2016-05-21T00:00,TUL,1.7 d,
Apparel,colorfamilyapparel,Color Family,metallic,Metallic,2016-05-21T00:00,TUL,1.7 d,
Apparel,colorfamilyapparel,Color Family,black,Black,2016-05-21T00:00,TUL,1.7 d,
Apparel,cut,Cut,singlebreasted,Single Breasted,2016-05-21T00:00,TUL,1.7 d,
Apparel,cut,Cut,doublebreasted,Double Breasted,2016-05-21T00:00,TUL,1.7 d,
Apparel,denimtreatments,Denim Treatments,other,Other,2016-05-21T00:00,TUL,1.7 d,
Apparel,denimtreatments,Denim Treatments,acidwash,Acid Wash,2016-05-21T00:00,TUL,1.7 d,
Apparel,denimtreatments,Denim Treatments,ruffles,Ruffles,2016-05-21T00:00,TUL,1.7 d,
Apparel,denimtreatments,Denim Treatments,piping,Piping,2016-05-21T00:00,TUL,1.7 d,
Apparel,denimtreatments,Denim Treatments,applique,Applique,2016-05-21T00:00,TUL,1.7 d,
Apparel,denimtreatments,Denim Treatments,ripped,Ripped,2016-05-21T00:00,TUL,1.7 d,
Apparel,denimtreatments,Denim Treatments,tattered,Tattered,2016-05-21T00:00,TUL,1.7 d,
Apparel,denimtreatments,Denim Treatments,embroidered,Embroidered,2016-05-21T00:00,TUL,1.7 d,
Apparel,denimtreatments,Denim Treatments,printed,Printed,2016-05-21T00:00,TUL,1.7 d,
Apparel,denimtreatments,Denim Treatments,rawdenim,Raw Denim,2016-05-21T00:00,TUL,1.7 d,
Apparel,denimtreatments,Denim Treatments,rinsewashed,Rinse Washed,2016-05-21T00:00,TUL,1.7 d,
Apparel,denimtreatments,Denim Treatments,lightlywashed,Lightly washed,2016-05-21T00:00,TUL,1.7 d,
Apparel,denimtreatments,Denim Treatments,heavilywashed,Heavily washed,2016-05-21T00:00,TUL,1.7 d,
Apparel,denimtreatments,Denim Treatments,coated,Coated,2016-05-21T00:00,TUL,1.7 d,
Apparel,denimtreatments,Denim Treatments,bows,Bows,2016-05-21T00:00,TUL,1.7 d,
Apparel,dresslength,Dress Length,midi,Midi,2016-05-21T00:00,TUL,1.7 d,
Apparel,dresslength,Dress Length,other,Other,2016-05-21T00:00,TUL,1.7 d,
Apparel,dresslength,Dress Length,mini,Mini,2016-05-21T00:00,TUL,1.7 d,
Apparel,dresslength,Dress Length,maxi,Maxi,2016-05-21T00:00,TUL,1.7 d,
Apparel,dresslength,Dress Length,kneetolength,Knee-length,2016-05-21T00:00,TUL,1.7 d,
Apparel,dresslength,Dress Length,belowknee,Below knee,2016-05-21T00:00,TUL,1.7 d,
Apparel,dresslength,Dress Length,aboveknee,Above knee,2016-05-21T00:00,TUL,1.7 d,
Apparel,dressshape,Dress Shape,peplumdress,Peplum dress,2016-05-21T00:00,TUL,1.7 d,
Apparel,dressshape,Dress Shape,assymetricdress,Assymetric dress,2016-05-21T00:00,TUL,1.7 d,
Apparel,dressshape,Dress Shape,chemise,Chemise,2016-05-21T00:00,TUL,1.7 d,
Apparel,dressshape,Dress Shape,princesspanel,Princess Panel,2016-05-21T00:00,TUL,1.7 d,
Apparel,dressshape,Dress Shape,skaterdress,Skater dress,2016-05-21T00:00,TUL,1.7 d,
Apparel,dressshape,Dress Shape,shirtdress,Shirt dress,2016-05-21T00:00,TUL,1.7 d,
Apparel,dressshape,Dress Shape,onetoshoulderdress,One-shoulder dress,2016-05-21T00:00,TUL,1.7 d,
Apparel,dressshape,Dress Shape,jerseydress,Jersey dress,2016-05-21T00:00,TUL,1.7 d,
Apparel,dressshape,Dress Shape,hightolowdress,High-low dress,2016-05-21T00:00,TUL,1.7 d,
Apparel,dressshape,Dress Shape,empiretolinedress,Empire-line dress,2016-05-21T00:00,TUL,1.7 d,
Apparel,dressshape,Dress Shape,blousondress,Blouson dress,2016-05-21T00:00,TUL,1.7 d,
Apparel,dressshape,Dress Shape,atolinedress,A-Line dress,2016-05-21T00:00,TUL,1.7 d,
Apparel,dressshape,Dress Shape,shiftdress,Shift dress,2016-05-21T00:00,TUL,1.7 d,
Apparel,dressshape,Dress Shape,tubedress,Tube dress,2016-05-21T00:00,TUL,1.7 d,
Apparel,dressshape,Dress Shape,tutu,Tutu,2016-05-21T00:00,TUL,1.7 d,
Apparel,dressshape,Dress Shape,other,Other,2016-05-21T00:00,TUL,1.7 d,
Apparel,dressshape,Dress Shape,tunic,Tunic,2016-05-21T00:00,TUL,1.7 d,
Apparel,dressshape,Dress Shape,dropwaist,Drop Waist,2016-05-21T00:00,TUL,1.7 d,
Apparel,dressshape,Dress Shape,maxidress,Maxi dress,2016-05-21T00:00,TUL,1.7 d,
Apparel,fitbottomwearmen,Fit,slimfit,Slim fit,2016-05-21T00:00,TUL,1.7 d,
Apparel,fitbottomwearmen,Fit,straightfit,Straight fit,2016-05-21T00:00,TUL,1.7 d,
Apparel,fitbottomwearmen,Fit,comfortfit,Comfort fit,2016-05-21T00:00,TUL,1.7 d,
Apparel,fitbottomwearmen,Fit,skinnyfit,Skinny fit,2016-05-21T00:00,TUL,1.7 d,
Apparel,fitbottomwearmen,Fit,other,Other,2016-05-21T00:00,TUL,1.7 d,
Apparel,fitbottomwearmen,Fit,regularfit,Regular fit,2016-05-21T00:00,TUL,1.7 d,
Apparel,fittopwearmen,Fit,snugfit,Snug fit,2016-05-21T00:00,TUL,1.7 d,
Apparel,fittopwearmen,Fit,slimfit,Slim fit,2016-05-21T00:00,TUL,1.7 d,
Apparel,fittopwearmen,Fit,regularfit,Regular fit,2016-05-21T00:00,TUL,1.7 d,
Apparel,jeanslength,Length,3by4thlength,3/4th length,2016-05-21T00:00,TUL,1.7 d,
Apparel,jeanslength,Length,other,Other,2016-05-21T00:00,TUL,1.7 d,
Apparel,jeanslength,Length,kneelength,Knee length,2016-05-21T00:00,TUL,1.7 d,
Apparel,jeanslength,Length,anklelength,Ankle length,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,27,27,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,24-48m,24 - 48 Months,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,29,29,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,30,30,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,31,31,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,32,32,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,33,33,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,34,34,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,35,35,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,36,36,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,37,37,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,38,38,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,39,39,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,40,40,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,42,42,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,44,44,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,46,46,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,48,48,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,50,50,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,3xl,3XL,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,l,L,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,m,M,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,s,S,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,xl,XL,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,xxl,XXL,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,freesize,Free Size,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,19inches,19 Inches,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,19.5inches,19.5 Inches,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,20inches,20 Inches,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,20.5inches,20.5 Inches,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,21inches,21 Inches,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,21.5inches,21.5 Inches,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,22inches,22 Inches,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,22-22.5inches,22 - 22.5 Inches,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,22.5-23inches,22.5 - 23 Inches,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,23.5-24inches,23.5 - 24 Inches,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,24.5-25inches,24.5 - 25 Inches,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,25.5-26inches,25.5 - 26 Inches,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,26.5-27inches,26.5 - 27 Inches,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,27.5-28inches,27.5 - 28 Inches,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,28.5-29inches,28.5 - 29 Inches,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,29.5-30inches,29.5 - 30 Inches,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,48cms,48 cms,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,49.5cms,49.5 cms,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,51cms,51 cms,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,52cms,52 cms,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,53.5cms,53.5 cms,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,54.5cms,54.5 cms,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,54.5-56cms,54.5 - 56 cms,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,56cms,56 cms,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,57cms,57 cms,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,58.5cms,58.5 cms,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,59.5-61cms,59.5 - 61 cms,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,62.5-63cms,62.5 - 63 cms,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,64.5-66cms,64.5 - 66 cms,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,0-3m,0 - 3 Months,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,3-6m,3 - 6 Months,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,6-9m,6 - 9 Months,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,9-12m,9 - 12 Months,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,12-18m,12 - 18 Months,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,18-24m,18 - 24 Months,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualbottomwearsize,Size,28,28,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualtopwearcollarneck,Neck/Collar,crewneck,Crew neck,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualtopwearcollarneck,Neck/Collar,vneck,V neck,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualtopwearcollarneck,Neck/Collar,peterpancollar,Peter pan collar,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualtopwearcollarneck,Neck/Collar,shawlcollar,Shawl collar,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualtopwearcollarneck,Neck/Collar,shirtcollar,Shirt collar,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualtopwearcollarneck,Neck/Collar,mandarincollar,Mandarin collar,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualtopwearcollarneck,Neck/Collar,notchedlapel,Notched lapel,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualtopwearcollarneck,Neck/Collar,peakedlapel,Peaked lapel,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualtopwearcollarneck,Neck/Collar,rollcollar,Roll collar,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualtopwearcollarneck,Neck/Collar,other,Other,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualtopwearcollarneck,Neck/Collar,henley,Henley,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualtopwearcollarneck,Neck/Collar,hood,Hood,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualtopwearcollarneck,Neck/Collar,mockcollar,Mock collar,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualtopwearcollarneck,Neck/Collar,roundneck,Round neck,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualtopwearcollarneck,Neck/Collar,scoopneck,Scoop neck,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualtopwearcollarneck,Neck/Collar,buttondowncollar,Button Down collar,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualtopwearcollarneck,Neck/Collar,cutawaycollar,Cutaway Collar,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualtopwearsize,Size,3xl,3XL,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualtopwearsize,Size,39,39,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualtopwearsize,Size,24-48m,24 - 48 Months,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualtopwearsize,Size,18-24m,18 - 24 Months,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualtopwearsize,Size,12-18m,12 - 18 Months,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualtopwearsize,Size,9-12m,9 - 12 Months,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualtopwearsize,Size,6-9m,6 - 9 Months,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualtopwearsize,Size,3-6m,3 - 6 Months,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualtopwearsize,Size,0-3m,0 - 3 Months,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualtopwearsize,Size,37,37,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualtopwearsize,Size,35,35,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualtopwearsize,Size,36,36,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualtopwearsize,Size,34,34,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualtopwearsize,Size,xl,XL,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualtopwearsize,Size,m,M,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualtopwearsize,Size,50,50,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualtopwearsize,Size,49,49,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualtopwearsize,Size,48,48,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualtopwearsize,Size,47,47,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualtopwearsize,Size,46,46,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualtopwearsize,Size,45,45,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualtopwearsize,Size,44,44,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualtopwearsize,Size,43,43,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualtopwearsize,Size,42,42,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualtopwearsize,Size,41,41,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualtopwearsize,Size,40,40,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualtopwearsize,Size,4xl,4XL,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualtopwearsize,Size,5xl,5XL,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualtopwearsize,Size,6xl,6XL,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualtopwearsize,Size,l,L,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualtopwearsize,Size,s,S,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualtopwearsize,Size,xxl,XXL,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualtopwearsize,Size,xxs,XXS,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualtopwearsize,Size,38,38,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualtopwearsize,Size,xs,XS,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualwearsetsize,Size,40,40,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualwearsetsize,Size,39,39,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualwearsetsize,Size,38,38,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualwearsetsize,Size,xxs,XXS,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualwearsetsize,Size,xxl,XXL,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualwearsetsize,Size,s,S,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualwearsetsize,Size,l,L,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualwearsetsize,Size,6xl,6XL,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualwearsetsize,Size,5xl,5XL,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualwearsetsize,Size,4xl,4XL,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualwearsetsize,Size,3xl,3XL,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualwearsetsize,Size,34,34,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualwearsetsize,Size,xl,XL,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualwearsetsize,Size,37,37,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualwearsetsize,Size,35,35,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualwearsetsize,Size,36,36,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualwearsetsize,Size,m,M,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualwearsetsize,Size,50,50,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualwearsetsize,Size,49,49,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualwearsetsize,Size,48,48,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualwearsetsize,Size,47,47,2016-05-21T00:00,TUL,1.7 d,
Apparel,mencasualwearsetsize,Size,46,46,2016-05-21T00:00,TUL,1.7 d,
