Product_Line,PIM_Attribute_ID,PIM_Attribute_Name,PrimaryHierarchy_Code,PrimaryHierarchy_Name,ClassificationCategory_Code,ClassificationCategory_Name,Comments
Apparel ,meninnerwearcollarneck,Neck/Collar,MPH1111104103,Vests,meninnerwearcollarneckCC,meninnerwearcollarneckClassifyingCategory,
Apparel ,unisexapparel,Unisex,MPH1110,Women's Apparel,apparelCC,apparelClassifyingCategory,
Apparel ,occasion,Occasion,MPH1110,Women's Apparel,apparelCC,apparelClassifyingCategory,
Apparel ,womenethinicweartopwearsize,Size,MPH1110100101,Kurta & kurtis,womenethinicweartopwearsizeCC,womenethinicweartopwearsizeClassifyingCategory,
Apparel ,collectionapparel,Collection,MPH1110100101,Kurta & kurtis,collectionapparelCC,collectionapparelClassifyingCategory,
Apparel ,womenethinictopwearpattern,Pattern,MPH1110100103,Dress material,womenethinictopwearpatternCC,womenethinictopwearpatternClassifyingCategory,
Apparel ,womenethinicwearbottomwearsize,Size,MPH1110100104,Ethnic bottom ,womenethinicwearbottomwearsizeCC,womenethinicwearbottomwearsizeClassifyingCategory,
Apparel ,womenfabric,Fabric Family,MPH1110101,Women's Western Wear,womenfabricCC,womenfabricClassifyingCategory,
Apparel ,womencasualtopwearneckcollar,Neck/Collar,MPH1110101100,Tops and tees,womencasualtopwearneckcollarCC,womencasualtopwearneckcollarClassifyingCategory,
Apparel ,trousertype,Trouser Type,MPH1110101103,Casual trousers,trousertypeCC,trousertypeClassifyingCategory,
Apparel ,waistrise,Waist Rise,MPH1110101104,Shorts,waistriseCC,waistriseClassifyingCategory,
Apparel ,tshirttype,Tshirt Type,MPH1110101105,Sweatshirts and hoodies,tshirttypeCC,tshirttypeClassifyingCategory,
Apparel ,womenpattern,Pattern,MPH1110101106,Sweaters,womenpatternCC,womenpatternClassifyingCategory,
Apparel ,womenpattern,Pattern,MPH1110101107,Casual jackets and blazers,womenpatternCC,womenpatternClassifyingCategory,
Apparel ,womentopwearfit,Fit,MPH1110101107,Casual jackets and blazers,womentopwearfitCC,womentopwearfitClassifyingCategory,
Apparel ,womenbottomwearfit,Fit,MPH1110101113,Leggings & Jeggings,womenbottomwearfitCC,womenbottomwearfitClassifyingCategory,
Apparel ,womencasualdressjumpersleeve,Sleeve,MPH1110101114,Jump suits,womencasualdressjumpersleeveCC,womencasualdressjumpersleeveClassifyingCategory,
Apparel ,brandfitname,Brand Fit Name,MPH1110102,Women Formal,brandfitnameCC,brandfitnameClassifyingCategory,
Apparel ,womenbottomwearfit,Fit,MPH1110102101,Formal trousers,womenbottomwearfitCC,womenbottomwearfitClassifyingCategory,
Apparel ,womentopwearfit,Fit,MPH1110102103,Formal coats jackets,womentopwearfitCC,womentopwearfitClassifyingCategory,
Apparel ,womenfabric,Fabric Family,MPH1110103,Women Maternity,womenfabricCC,womenfabricClassifyingCategory,
Apparel ,bracoverage,Coverage,MPH1110103101,Maternity Lingerie,bracoverageCC,bracoverageClassifyingCategory,
Apparel ,womenethinictopwearneckcollar,Neck/Collar,MPH1110104100,Sports tshirt,womenethinictopwearneckcollarCC,womenethinictopwearneckcollarClassifyingCategory,
Apparel ,womencasualtopwearsize,Size,MPH1110104103,Sports jackets,womencasualtopwearsizeCC,womencasualtopwearsizeClassifyingCategory,
Apparel ,womenformalbottomwearsize,Size,MPH1110104104,Track pants,womenformalbottomwearsizeCC,womenformalbottomwearsizeClassifyingCategory,
Apparel ,womenbriefpattern,Pattern,MPH1110104105,Swimwear,womenbriefpatternCC,womenbriefpatternClassifyingCategory,
Apparel ,womeninnerwearbrasize,Size,MPH1110105100,Bras & Bra Sets,womeninnerwearbrasizeCC,womeninnerwearbrasizeClassifyingCategory,
Apparel ,womenbrapattern,Pattern,MPH1110105100,Bras & Bra Sets,womenbrapatternCC,womenbrapatternClassifyingCategory,
Apparel ,womenbriefpattern,Pattern,MPH1110105100,Bras & Bra Sets,womenbriefpatternCC,womenbriefpatternClassifyingCategory,
Apparel ,bracoverage,Coverage,MPH1110105103,Corsets & Bustier,bracoverageCC,bracoverageClassifyingCategory,
Apparel ,womenbriefpattern,Pattern,MPH1110105106,Panties,womenbriefpatternCC,womenbriefpatternClassifyingCategory,
Apparel ,womeninnerwearbrasize,Size,MPH1110105108,Stockings &Tights,womeninnerwearbrasizeCC,womeninnerwearbrasizeClassifyingCategory,
Apparel ,menfabric,Fabric Family,MPH1111,Men's Apparel,menfabricCC,menfabricClassifyingCategory,
Apparel ,storyname,Story Name,MPH1111,Men's Apparel,apparelCC,apparelClassifyingCategory,
Apparel ,stylenote,Style Note,MPH1111,Men's Apparel,apparelCC,apparelClassifyingCategory,
Apparel ,mensleeve,Sleeve,MPH1111100100,Formal shirt,mensleeveCC,mensleeveClassifyingCategory,
Apparel ,waistrise,Waist Rise,MPH1111100101,Formal trousers,waistriseCC,waistriseClassifyingCategory,
Apparel ,fitbottomwearmen,Fit,MPH1111100101,Formal trousers,fitbottomwearmenCC,fitbottomwearmenClassifyingCategory,
Apparel ,tshirttype,Tshirt Type,MPH1111101101,casual shirts,tshirttypeCC,tshirttypeClassifyingCategory,
Apparel ,mencasualtopwearsize,Size,MPH1111101101,casual shirts,mencasualtopwearsizeCC,mencasualtopwearsizeClassifyingCategory,
Apparel ,fitbottomwearmen,Fit,MPH1111101102,Jeans,fitbottomwearmenCC,fitbottomwearmenClassifyingCategory,
Apparel ,trousertype,Trouser Type,MPH1111101103,Casual trousers,trousertypeCC,trousertypeClassifyingCategory,
Apparel ,mensleeve,Sleeve,MPH1111101107,Casual Jackets,mensleeveCC,mensleeveClassifyingCategory,
Apparel ,mencasualtopwearsize,Size,MPH1111102100,Sports tshirt,mencasualtopwearsizeCC,mencasualtopwearsizeClassifyingCategory,
Apparel ,waistrise,Waist Rise,MPH1111102101,Sports shorts,waistriseCC,waistriseClassifyingCategory,
Apparel ,mencasualwearsetsize,Size,MPH1111102102,Sports sets,mencasualwearsetsizeCC,mencasualwearsetsizeClassifyingCategory,
Apparel ,mencasualtopwearcollarneck,Neck/Collar,MPH1111102103,Sports jackets,mencasualtopwearcollarneckCC,mencasualtopwearcollarneckClassifyingCategory,
Apparel ,mensleeve,Sleeve,MPH1111102103,Sports jackets,mensleeveCC,mensleeveClassifyingCategory,
Apparel ,fitbottomwearmen,Fit,MPH1111103102,Bottomwear,fitbottomwearmenCC,fitbottomwearmenClassifyingCategory,
Apparel ,fittopwearmen,Fit,MPH1111103104,Ethnic headgear,fittopwearmenCC,fittopwearmenClassifyingCategory,
Apparel ,washcare,Wash Care,MPH1111104,Mens Innerwear and sleepwear,washcareCC,washcareClassifyingCategory,
Apparel ,meninnerwearsize,Size,MPH1111104103,Vests,meninnerwearsizeCC,meninnerwearsizeClassifyingCategory,
Apparel ,waistrise,Waist Rise,MPH1111104105,Swimwear,waistriseCC,waistriseClassifyingCategory,
Apparel ,meninnerwearcollarneck,Neck/Collar,MPH1111104105,Swimwear,meninnerwearcollarneckCC,meninnerwearcollarneckClassifyingCategory,
Apparel ,sockusage,Usage,MPH1111105,Socks,sockusageCC,sockusageClassifyingCategory,
Apparel ,sizechart,Size chart,MPH1110,Women's Apparel,sizechartCC,sizechartClassifyingCategory,
Apparel ,womenethinicweartopwearsize,Size,MPH1110100100,Sarees,womenethinicweartopwearsizeCC,womenethinicweartopwearsizeClassifyingCategory,
Apparel ,others2apparel,Others 2,MPH1110100101,Kurta & kurtis,others2apparelCC,others2apparelClassifyingCategory,
Apparel ,pocketapparel,Pocket,MPH1110100101,Kurta & kurtis,pocketapparelCC,pocketapparelClassifyingCategory,
Apparel ,womenethinicweartopwearsize,Size,MPH1110100102,Suit Sets,womenethinicweartopwearsizeCC,womenethinicweartopwearsizeClassifyingCategory,
Apparel ,womenethinictopwearneckcollar,Neck/Collar,MPH1110100102,Suit Sets,womenethinictopwearneckcollarCC,womenethinictopwearneckcollarClassifyingCategory,
Apparel ,womensetcontents,Set Contents,MPH1110100102,Suit Sets,womensetcontentsCC,womensetcontentsClassifyingCategory,
Apparel ,womentopwearfit,Fit,MPH1110101100,Tops and tees,womentopwearfitCC,womentopwearfitClassifyingCategory,
Apparel ,waistrise,Waist Rise,MPH1110101102,Jeans,waistriseCC,waistriseClassifyingCategory,
Apparel ,womenpattern,Pattern,MPH1110101102,Jeans,womenpatternCC,womenpatternClassifyingCategory,
Apparel ,waistrise,Waist Rise,MPH1110101103,Casual trousers,waistriseCC,waistriseClassifyingCategory,
Apparel ,womencasualbottomwearjeanslowersize,Size,MPH1110101103,Casual trousers,womencasualbottomwearjeanslowersizeCC,womencasualbottomwearjeanslowersizeClassifyingCategory,
Apparel ,womencasualbottomwearjeanslowersize,Size,MPH1110101104,Shorts,womencasualbottomwearjeanslowersizeCC,womencasualbottomwearjeanslowersizeClassifyingCategory,
Apparel ,womencasualtopwearsize,Size,MPH1110101106,Sweaters,womencasualtopwearsizeCC,womencasualtopwearsizeClassifyingCategory,
Apparel ,womencasualdressjumpersleeve,Sleeve,MPH1110101109,Casual dresses,womencasualdressjumpersleeveCC,womencasualdressjumpersleeveClassifyingCategory,
Apparel ,womencasualtopwearsleeve,Sleeve,MPH1110101110,Shrugs and cardigans,womencasualtopwearsleeveCC,womencasualtopwearsleeveClassifyingCategory,
Apparel ,womensetcontents,Set Contents,MPH1110102102,Formal suits,womensetcontentsCC,womensetcontentsClassifyingCategory,
Apparel ,womenformaltopwearsize,Size,MPH1110102104,Formal dress,womenformaltopwearsizeCC,womenformaltopwearsizeClassifyingCategory,
Apparel ,womenformalsetdressneckcollar,Neck/Collar,MPH1110102104,Formal dress,womenformalsetdressneckcollarCC,womenformalsetdressneckcollarClassifyingCategory,
Apparel ,womenbrieftype,Brief Type,MPH1110103101,Maternity Lingerie,womenbrieftypeCC,womenbrieftypeClassifyingCategory,
Apparel ,womenbrapattern,Pattern,MPH1110103101,Maternity Lingerie,womenbrapatternCC,womenbrapatternClassifyingCategory,
Apparel ,apparelsports,Sports,MPH1110104,Women's Sports,apparelsportsCC,apparelsportsClassifyingCategory,
Apparel ,womencasualtopwearsize,Size,MPH1110104102,Sports sets,womencasualtopwearsizeCC,womencasualtopwearsizeClassifyingCategory,
Apparel ,womenfabric,Fabric Family,MPH1110105,Women's Lingerie,womenfabricCC,womenfabricClassifyingCategory,
Apparel ,padding,Padding,MPH1110105100,Bras & Bra Sets,paddingCC,paddingClassifyingCategory,
Apparel ,bracoverage,Coverage,MPH1110105100,Bras & Bra Sets,bracoverageCC,bracoverageClassifyingCategory,
Apparel ,padding,Padding,MPH1110105101,Camisoles & Camisole Sets,paddingCC,paddingClassifyingCategory,
Apparel ,womenethinictopwearneckcollar,Neck/Collar,MPH1110105101,Camisoles & Camisole Sets,womenethinictopwearneckcollarCC,womenethinictopwearneckcollarClassifyingCategory,
Apparel ,womensetcontents,Set Contents,MPH1110105102,Lingerie Sets,womensetcontentsCC,womensetcontentsClassifyingCategory,
Apparel ,bracoverage,Coverage,MPH1110105102,Lingerie Sets,bracoverageCC,bracoverageClassifyingCategory,
Apparel ,brafabricfamily,Fabric Family,MPH1110105102,Lingerie Sets,brafabricfamilyCC,brafabricfamilyClassifyingCategory,
Apparel ,womeninnerwearbrasize,Size,MPH1110105103,Corsets & Bustier,womeninnerwearbrasizeCC,womeninnerwearbrasizeClassifyingCategory,
Apparel ,padding,Padding,MPH1110105107,Intimate wear,paddingCC,paddingClassifyingCategory,
Apparel ,womenethinictopwearneckcollar,Neck/Collar,MPH1110105107,Intimate wear,womenethinictopwearneckcollarCC,womenethinictopwearneckcollarClassifyingCategory,
Apparel ,bracoverage,Coverage,MPH1110105109,Shapewear,bracoverageCC,bracoverageClassifyingCategory,
Apparel ,multipack,Multi Pack,MPH1111,Men's Apparel,apparelCC,apparelClassifyingCategory,
Apparel ,occasion,Occasion,MPH1111,Men's Apparel,apparelCC,apparelClassifyingCategory,
Apparel ,colorapparel,Color,MPH1111,Men's Apparel,apparelCC,apparelClassifyingCategory,
Apparel ,menformalbottomwearsize,Size,MPH1111100101,Formal trousers,menformalbottomwearsizeCC,menformalbottomwearsizeClassifyingCategory,
Apparel ,trousertype,Trouser Type,MPH1111100102,Formal suits,trousertypeCC,trousertypeClassifyingCategory,
Apparel ,fittopwearmen,Fit,MPH1111100102,Formal suits,fittopwearmenCC,fittopwearmenClassifyingCategory,
Apparel ,menformaltopwearsize,Size,MPH1111100103,Formal coats & jackets,menformaltopwearsizeCC,menformaltopwearsizeClassifyingCategory,
Apparel ,menformaltopwearcollarneck,Neck/Collar,MPH1111100103,Formal coats & jackets,menformaltopwearcollarneckCC,menformaltopwearcollarneckClassifyingCategory,
Apparel ,mencasualtopwearcollarneck,Neck/Collar,MPH1111101100,T-Shirts,mencasualtopwearcollarneckCC,mencasualtopwearcollarneckClassifyingCategory,
Apparel ,fittopwearmen,Fit,MPH1111101101,casual shirts,fittopwearmenCC,fittopwearmenClassifyingCategory,
Apparel ,mensleeve,Sleeve,MPH1111101101,casual shirts,mensleeveCC,mensleeveClassifyingCategory,
Apparel ,waistrise,Waist Rise,MPH1111101102,Jeans,waistriseCC,waistriseClassifyingCategory,
Apparel ,denimtreatments,Denim Treatments,MPH1111101102,Jeans,denimtreatmentsCC,denimtreatmentsClassifyingCategory,
Apparel ,mencasualtopwearcollarneck,Neck/Collar,MPH1111101107,Casual Jackets,mencasualtopwearcollarneckCC,mencasualtopwearcollarneckClassifyingCategory,
Apparel ,waistrise,Waist Rise,MPH1111101108,Track pants,waistriseCC,waistriseClassifyingCategory,
Apparel ,apparelsports,Sports,MPH1111102,Mens Sports,apparelsportsCC,apparelsportsClassifyingCategory,
Apparel ,fittopwearmen,Fit,MPH1111102100,Sports tshirt,fittopwearmenCC,fittopwearmenClassifyingCategory,
Apparel ,mensleeve,Sleeve,MPH1111102100,Sports tshirt,mensleeveCC,mensleeveClassifyingCategory,
Apparel ,brandfitname,Brand Fit Name,MPH1111102101,Sports shorts,brandfitnameCC,brandfitnameClassifyingCategory,
Apparel ,fittopwearmen,Fit,MPH1111103101,Kurta set with bottom,fittopwearmenCC,fittopwearmenClassifyingCategory,
Apparel ,mensetcontents,Set Contents,MPH1111103103,Ethnic suits,mensetcontentsCC,mensetcontentsClassifyingCategory,
Apparel ,brieftype,Brief Type,MPH1111104100,Briefs,brieftypeCC,brieftypeClassifyingCategory,
Apparel ,fitbottomwearmen,Fit,MPH1111104101,Trunks,fitbottomwearmenCC,fitbottomwearmenClassifyingCategory,
Apparel ,mensleeve,Sleeve,MPH1111104103,Vests,mensleeveCC,mensleeveClassifyingCategory,
Apparel ,multipack,Multi Pack,MPH1110,Women's Apparel,apparelCC,apparelClassifyingCategory,
Apparel ,displayproduct,Display Product Name,MPH1110,Women's Apparel,apparelCC,apparelClassifyingCategory,
Apparel ,colorapparel,Color,MPH1110,Women's Apparel,apparelCC,apparelClassifyingCategory,
Apparel ,packquantity,Pack Quantity,MPH1110,Women's Apparel,apparelCC,apparelClassifyingCategory,
Apparel ,womenethinicweartopwearsize,Size,MPH1110100105,Duppatta,womenethinicweartopwearsizeCC,womenethinicweartopwearsizeClassifyingCategory,
Apparel ,womencasualtopwearsize,Size,MPH1110101100,Tops and tees,womencasualtopwearsizeCC,womencasualtopwearsizeClassifyingCategory,
Apparel ,womencasualtopwearsleeve,Sleeve,MPH1110101100,Tops and tees,womencasualtopwearsleeveCC,womencasualtopwearsleeveClassifyingCategory,
Apparel ,womencasualtopwearsize,Size,MPH1110101101,casual shirts,womencasualtopwearsizeCC,womencasualtopwearsizeClassifyingCategory,
Apparel ,denimtreatments,Denim Treatments,MPH1110101102,Jeans,denimtreatmentsCC,denimtreatmentsClassifyingCategory,
Apparel ,womenbottomwearfit,Fit,MPH1110101102,Jeans,womenbottomwearfitCC,womenbottomwearfitClassifyingCategory,
Apparel ,womenpattern,Pattern,MPH1110101103,Casual trousers,womenpatternCC,womenpatternClassifyingCategory,
Apparel ,womenpattern,Pattern,MPH1110101104,Shorts,womenpatternCC,womenpatternClassifyingCategory,
Apparel ,womencasualtopwearneckcollar,Neck/Collar,MPH1110101105,Sweatshirts and hoodies,womencasualtopwearneckcollarCC,womencasualtopwearneckcollarClassifyingCategory,
Apparel ,womentopwearfit,Fit,MPH1110101105,Sweatshirts and hoodies,womentopwearfitCC,womentopwearfitClassifyingCategory,
Apparel ,womencasualtopwearsize,Size,MPH1110101107,Casual jackets and blazers,womencasualtopwearsizeCC,womencasualtopwearsizeClassifyingCategory,
Apparel ,womencasualtopwearneckcollar,Neck/Collar,MPH1110101107,Casual jackets and blazers,womencasualtopwearneckcollarCC,womencasualtopwearneckcollarClassifyingCategory,
Apparel ,waistrise,Waist Rise,MPH1110101108,Track pants,waistriseCC,waistriseClassifyingCategory,
Apparel ,womencasualtopwearsize,Size,MPH1110101110,Shrugs and cardigans,womencasualtopwearsizeCC,womencasualtopwearsizeClassifyingCategory,
Apparel ,womencasualtopwearneckcollar,Neck/Collar,MPH1110101110,Shrugs and cardigans,womencasualtopwearneckcollarCC,womencasualtopwearneckcollarClassifyingCategory,
Apparel ,waistrise,Waist Rise,MPH1110101112,Capris,waistriseCC,waistriseClassifyingCategory,
Apparel ,trousertype,Trouser Type,MPH1110102101,Formal trousers,trousertypeCC,trousertypeClassifyingCategory,
Apparel ,cut,Cut,MPH1110102102,Formal suits,cutCC,CutClassifyingCategory,
Apparel ,womenformalsetsuitneckcollar,Neck/Collar,MPH1110102102,Formal suits,womenformalsetsuitneckcollarCC,womenformalsetsuitneckcollarClassifyingCategory,
Apparel ,womenpattern,Pattern,MPH1110103,Women Maternity,womenpatternCC,womenpatternClassifyingCategory,
Apparel ,womenethinictopwearneckcollar,Neck/Collar,MPH1110103102,Maternity Sleepwear,womenethinictopwearneckcollarCC,womenethinictopwearneckcollarClassifyingCategory,
Apparel ,womenfabric,Fabric Family,MPH1110104,Women's Sports,womenfabricCC,womenfabricClassifyingCategory,
Apparel ,womenformalbottomwearsize,Size,MPH1110104102,Sports sets,womenformalbottomwearsizeCC,womenformalbottomwearsizeClassifyingCategory,
Apparel ,womenethinictopwearneckcollar,Neck/Collar,MPH1110104106,Sports innerwear,womenethinictopwearneckcollarCC,womenethinictopwearneckcollarClassifyingCategory,
Apparel ,womeninnerwearbriefsize,Size,MPH1110105102,Lingerie Sets,womeninnerwearbriefsizeCC,womeninnerwearbriefsizeClassifyingCategory,
Apparel ,womenbrapattern,Pattern,MPH1110105102,Lingerie Sets,womenbrapatternCC,womenbrapatternClassifyingCategory,
Apparel ,bratype,Bra Type,MPH1110105103,Corsets & Bustier,bratypeCC,bratypeClassifyingCategory,
Apparel ,sleepwearcoverage,Length,MPH1110105104,Sleepwear & Robes,sleepwearcoverageCC,sleepwearcoverageClassifyingCategory,
Apparel ,wiring,Wiring,MPH1110105109,Shapewear,wiringCC,wiringClassifyingCategory,
Apparel ,sizechart,Size chart,MPH1111,Men's Apparel,sizechartCC,sizechartClassifyingCategory,
Apparel ,modelfit,Model fit,MPH1111,Men's Apparel,modelfitCC,modelfitClassifyingCategory,
Apparel ,menpattern,Pattern,MPH1111,Men's Apparel,menpatternCC,menpatternClassifyingCategory,
Apparel ,menformalsetsuitsize,Size,MPH1111100102,Formal suits,menformalsetsuitsizeCC,menformalsetsuitsizeClassifyingCategory,
Apparel ,fittopwearmen,Fit,MPH1111101100,T-Shirts,fittopwearmenCC,fittopwearmenClassifyingCategory,
Apparel ,mencasualtopwearsize,Size,MPH1111101105,Sweatshirts and hoodies,mencasualtopwearsizeCC,mencasualtopwearsizeClassifyingCategory,
Apparel ,mencasualtopwearcollarneck,Neck/Collar,MPH1111101105,Sweatshirts and hoodies,mencasualtopwearcollarneckCC,mencasualtopwearcollarneckClassifyingCategory,
Apparel ,mensleeve,Sleeve,MPH1111101105,Sweatshirts and hoodies,mensleeveCC,mensleeveClassifyingCategory,
Apparel ,mencasualtopwearcollarneck,Neck/Collar,MPH1111101106,Sweaters,mencasualtopwearcollarneckCC,mencasualtopwearcollarneckClassifyingCategory,
Apparel ,fitbottomwearmen,Fit,MPH1111101108,Track pants,fitbottomwearmenCC,fitbottomwearmenClassifyingCategory,
Apparel ,washcare,Wash Care,MPH1111102,Mens Sports,washcareCC,washcareClassifyingCategory,
Apparel ,meninnerwearsize,Size,MPH1111102101,Sports shorts,meninnerwearsizeCC,meninnerwearsizeClassifyingCategory,
Apparel ,mensleeve,Sleeve,MPH1111102102,Sports sets,mensleeveCC,mensleeveClassifyingCategory,
Apparel ,washcare,Wash Care,MPH1111103,Mens Ethnic,washcareCC,washcareClassifyingCategory,
Apparel ,menethinicweartopwearsize,Size,MPH1111103100,Kurta,menethinicweartopwearsizeCC,menethinicweartopwearsizeClassifyingCategory,
Apparel ,setitems,Set Items,MPH1111103101,Kurta set with bottom,setitemsCC,setitemsClassifyingCategory,
Apparel ,menethinicwearsetsize,Size,MPH1111103103,Ethnic suits,menethinicwearsetsizeCC,menethinicwearsetsizeClassifyingCategory,
Apparel ,menethinicwearcollarneck,Neck/Collar,MPH1111103103,Ethnic suits,menethinicwearcollarneckCC,menethinicwearcollarneckClassifyingCategory,
Apparel ,mensleeve,Sleeve,MPH1111103103,Ethnic suits,mensleeveCC,mensleeveClassifyingCategory,
Apparel ,brieftype,Brief Type,MPH1111104102,Boxers,brieftypeCC,brieftypeClassifyingCategory,
Apparel ,brandfitname,Brand Fit Name,MPH1111104102,Boxers,brandfitnameCC,brandfitnameClassifyingCategory,
Apparel ,waistrise,Waist Rise,MPH1111104104,Sleepwear,waistriseCC,waistriseClassifyingCategory,
Apparel ,meninnerwearcollarneck,Neck/Collar,MPH1111104104,Sleepwear,meninnerwearcollarneckCC,meninnerwearcollarneckClassifyingCategory,
Apparel ,fittopwearmen,Fit,MPH1111104104,Sleepwear,fittopwearmenCC,fittopwearmenClassifyingCategory,
Apparel ,ageband,Age Band,MPH1110,Women's Apparel,apparelCC,apparelClassifyingCategory,
Apparel ,womenfabric,Fabric Family,MPH1110100,Women's Ethnic ,womenfabricCC,womenfabricClassifyingCategory,
Apparel ,womenethinictopwearneckcollar,Neck/Collar,MPH1110100101,Kurta & kurtis,womenethinictopwearneckcollarCC,womenethinictopwearneckcollarClassifyingCategory,
Apparel ,womentopwearfit,Fit,MPH1110100101,Kurta & kurtis,womentopwearfitCC,womentopwearfitClassifyingCategory,
Apparel ,womensleeve,Sleeve,MPH1110100101,Kurta & kurtis,womensleeveCC,womensleeveClassifyingCategory,
