"category_code","template_code","display_order","required","filterable","searchable","comparable","visible","editable","metadata"
"MPH1110101114","womencasualdressjumpersleeve","2","false","true","true","true","true","true","{""displayGroup"": ""Sleeve""}"
"MPH1110102","brandfitname","1","false","true","true","true","true","true","{""displayGroup"": ""Brand Fit Name""}"
"MPH1110102101","womenbottomwearfit","1","false","true","true","true","true","true","{""displayGroup"": ""Fit""}"
"MPH1110102103","womentopwearfit","2","false","true","true","true","true","true","{""displayGroup"": ""Fit""}"
"MPH1110103","womenfabric","1","false","true","true","true","true","true","{""displayGroup"": ""Fabric Family""}"
"MPH1110103101","bracoverage","1","false","true","true","true","true","true","{""displayGroup"": ""Coverage""}"
"MPH1110104100","womenethinictopwearneckcollar","2","false","true","true","true","true","true","{""displayGroup"": ""Neck/Collar""}"
"MPH1110104103","womencasualtopwearsize","1","false","true","true","true","true","true","{""displayGroup"": ""Size""}"
"MPH1110104104","womenformalbottomwearsize","1","false","true","true","true","true","true","{""displayGroup"": ""Size""}"
"MPH1110104105","womenbriefpattern","1","false","true","true","true","true","true","{""displayGroup"": ""Pattern""}"
"MPH1110105100","womeninnerwearbrasize","2","false","true","true","true","true","true","{""displayGroup"": ""Size""}"
"MPH1110105100","womenbrapattern","3","false","true","true","true","true","true","{""displayGroup"": ""Pattern""}"
"MPH1110105100","womenbriefpattern","4","false","true","true","true","true","true","{""displayGroup"": ""Pattern""}"
"MPH1110105103","bracoverage","2","false","true","true","true","true","true","{""displayGroup"": ""Coverage""}"
"MPH1110105106","womenbriefpattern","2","false","true","true","true","true","true","{""displayGroup"": ""Pattern""}"
"MPH1110105108","womeninnerwearbrasize","1","false","true","true","true","true","true","{""displayGroup"": ""Size""}"
"MPH1111","menfabric","3","false","true","true","true","true","true","{""displayGroup"": ""Fabric Family""}"
"MPH1111","storyname","4","false","true","true","true","true","true","{""displayGroup"": ""Story Name""}"
"MPH1111","stylenote","5","false","true","true","true","true","true","{""displayGroup"": ""Style Note""}"
"MPH1111100100","mensleeve","1","false","true","true","true","true","true","{""displayGroup"": ""Sleeve""}"
"MPH1111100101","waistrise","1","false","true","true","true","true","true","{""displayGroup"": ""Waist Rise""}"
"MPH1111100101","fitbottomwearmen","2","false","true","true","true","true","true","{""displayGroup"": ""Fit""}"
"MPH1111101101","tshirttype","2","false","true","true","true","true","true","{""displayGroup"": ""Tshirt Type""}"
"MPH1111101101","mencasualtopwearsize","3","false","true","true","true","true","true","{""displayGroup"": ""Size""}"
"MPH1111101102","fitbottomwearmen","2","false","true","true","true","true","true","{""displayGroup"": ""Fit""}"
"MPH1111101103","trousertype","1","false","true","true","true","true","true","{""displayGroup"": ""Trouser Type""}"
"MPH1111101107","mensleeve","2","false","true","true","true","true","true","{""displayGroup"": ""Sleeve""}"
"MPH1111102100","mencasualtopwearsize","1","false","true","true","true","true","true","{""displayGroup"": ""Size""}"
"MPH1111102101","waistrise","2","false","true","true","true","true","true","{""displayGroup"": ""Waist Rise""}"
"MPH1111102102","mencasualwearsetsize","1","false","true","true","true","true","true","{""displayGroup"": ""Size""}"
"MPH1111102103","mencasualtopwearcollarneck","1","false","true","true","true","true","true","{""displayGroup"": ""Neck/Collar""}"
"MPH1111102103","mensleeve","2","false","true","true","true","true","true","{""displayGroup"": ""Sleeve""}"
"MPH1111103102","fitbottomwearmen","1","false","true","true","true","true","true","{""displayGroup"": ""Fit""}"
"MPH1111103104","fittopwearmen","3","false","true","true","true","true","true","{""displayGroup"": ""Fit""}"
"MPH1111104","washcare","1","false","true","true","true","true","true","{""displayGroup"": ""Wash Care""}"
"MPH1111104103","meninnerwearsize","2","false","true","true","true","true","true","{""displayGroup"": ""Size""}"
"MPH1111104105","waistrise","1","false","true","true","true","true","true","{""displayGroup"": ""Waist Rise""}"
"MPH1111104105","meninnerwearcollarneck","2","false","true","true","true","true","true","{""displayGroup"": ""Neck/Collar""}"
"MPH1111105","sockusage","1","false","true","true","true","true","true","{""displayGroup"": ""Usage""}"
"MPH1110","sizechart","4","false","true","true","true","true","true","{""displayGroup"": ""Size chart""}"
"MPH1110100100","womenethinicweartopwearsize","1","false","true","true","true","true","true","{""displayGroup"": ""Size""}"
"MPH1110100101","others2apparel","3","false","true","true","true","true","true","{""displayGroup"": ""Others 2""}"
"MPH1110100101","pocketapparel","4","false","true","true","true","true","true","{""displayGroup"": ""Pocket""}"
"MPH1110100102","womenethinicweartopwearsize","1","false","true","true","true","true","true","{""displayGroup"": ""Size""}"
"MPH1110100102","womenethinictopwearneckcollar","2","false","true","true","true","true","true","{""displayGroup"": ""Neck/Collar""}"
"MPH1110100102","womensetcontents","3","false","true","true","true","true","true","{""displayGroup"": ""Set Contents""}"
"MPH1110101100","womentopwearfit","2","false","true","true","true","true","true","{""displayGroup"": ""Fit""}"
"MPH1110101102","waistrise","2","false","true","true","true","true","true","{""displayGroup"": ""Waist Rise""}"
"MPH1110101102","womenpattern","3","false","true","true","true","true","true","{""displayGroup"": ""Pattern""}"
"MPH1110101103","waistrise","2","false","true","true","true","true","true","{""displayGroup"": ""Waist Rise""}"
"MPH1110101103","womencasualbottomwearjeanslowersize","3","false","true","true","true","true","true","{""displayGroup"": ""Size""}"
"MPH1110101104","womencasualbottomwearjeanslowersize","2","false","true","true","true","true","true","{""displayGroup"": ""Size""}"
"MPH1110101106","womencasualtopwearsize","2","false","true","true","true","true","true","{""displayGroup"": ""Size""}"
"MPH1110101109","womencasualdressjumpersleeve","2","false","true","true","true","true","true","{""displayGroup"": ""Sleeve""}"
"MPH1110101110","womencasualtopwearsleeve","2","false","true","true","true","true","true","{""displayGroup"": ""Sleeve""}"
"MPH1110102102","womensetcontents","1","false","true","true","true","true","true","{""displayGroup"": ""Set Contents""}"
"MPH1110102104","womenformaltopwearsize","2","false","true","true","true","true","true","{""displayGroup"": ""Size""}"
"MPH1110102104","womenformalsetdressneckcollar","3","false","true","true","true","true","true","{""displayGroup"": ""Neck/Collar""}"
"MPH1110103101","womenbrieftype","2","false","true","true","true","true","true","{""displayGroup"": ""Brief Type""}"
"MPH1110103101","womenbrapattern","3","false","true","true","true","true","true","{""displayGroup"": ""Pattern""}"
"MPH1110104","apparelsports","1","false","true","true","true","true","true","{""displayGroup"": ""Sports""}"
"MPH1110104102","womencasualtopwearsize","1","false","true","true","true","true","true","{""displayGroup"": ""Size""}"
"MPH1110105","womenfabric","1","false","true","true","true","true","true","{""displayGroup"": ""Fabric Family""}"
"MPH1110105100","padding","5","false","true","true","true","true","true","{""displayGroup"": ""Padding""}"
"MPH1110105100","bracoverage","6","false","true","true","true","true","true","{""displayGroup"": ""Coverage""}"
"MPH1110105101","padding","2","false","true","true","true","true","true","{""displayGroup"": ""Padding""}"
"MPH1110105101","womenethinictopwearneckcollar","3","false","true","true","true","true","true","{""displayGroup"": ""Neck/Collar""}"
"MPH1110105102","womensetcontents","1","false","true","true","true","true","true","{""displayGroup"": ""Set Contents""}"
"MPH1110105102","bracoverage","2","false","true","true","true","true","true","{""displayGroup"": ""Coverage""}"
"MPH1110105102","brafabricfamily","3","false","true","true","true","true","true","{""displayGroup"": ""Fabric Family""}"
"MPH1110105103","womeninnerwearbrasize","3","false","true","true","true","true","true","{""displayGroup"": ""Size""}"
"MPH1110105107","padding","3","false","true","true","true","true","true","{""displayGroup"": ""Padding""}"
"MPH1110105107","womenethinictopwearneckcollar","4","false","true","true","true","true","true","{""displayGroup"": ""Neck/Collar""}"
"MPH1110105109","bracoverage","3","false","true","true","true","true","true","{""displayGroup"": ""Coverage""}"
"MPH1111","multipack","6","false","true","true","true","true","true","{""displayGroup"": ""Multi Pack""}"
"MPH1111","occasion","7","false","true","true","true","true","true","{""displayGroup"": ""Occasion""}"
"MPH1111","colorapparel","8","false","true","true","true","true","true","{""displayGroup"": ""Color""}"
"MPH1111100101","menformalbottomwearsize","3","false","true","true","true","true","true","{""displayGroup"": ""Size""}"
"MPH1111100102","trousertype","3","false","true","true","true","true","true","{""displayGroup"": ""Trouser Type""}"
"MPH1111100102","fittopwearmen","4","false","true","true","true","true","true","{""displayGroup"": ""Fit""}"
"MPH1111100103","menformaltopwearsize","1","false","true","true","true","true","true","{""displayGroup"": ""Size""}"
"MPH1111100103","menformaltopwearcollarneck","2","false","true","true","true","true","true","{""displayGroup"": ""Neck/Collar""}"
"MPH1111101100","mencasualtopwearcollarneck","2","false","true","true","true","true","true","{""displayGroup"": ""Neck/Collar""}"
"MPH1111101101","fittopwearmen","4","false","true","true","true","true","true","{""displayGroup"": ""Fit""}"
"MPH1111101101","mensleeve","5","false","true","true","true","true","true","{""displayGroup"": ""Sleeve""}"
"MPH1111101102","waistrise","3","false","true","true","true","true","true","{""displayGroup"": ""Waist Rise""}"
"MPH1111101102","denimtreatments","4","false","true","true","true","true","true","{""displayGroup"": ""Denim Treatments""}"
"MPH1111101107","mencasualtopwearcollarneck","3","false","true","true","true","true","true","{""displayGroup"": ""Neck/Collar""}"
"MPH1111101108","waistrise","2","false","true","true","true","true","true","{""displayGroup"": ""Waist Rise""}"
"MPH1111102","apparelsports","1","false","true","true","true","true","true","{""displayGroup"": ""Sports""}"
"MPH1111102100","fittopwearmen","2","false","true","true","true","true","true","{""displayGroup"": ""Fit""}"
"MPH1111102100","mensleeve","3","false","true","true","true","true","true","{""displayGroup"": ""Sleeve""}"
"MPH1111102101","brandfitname","3","false","true","true","true","true","true","{""displayGroup"": ""Brand Fit Name""}"
"MPH1111103101","fittopwearmen","1","false","true","true","true","true","true","{""displayGroup"": ""Fit""}"
"MPH1111103103","mensetcontents","1","false","true","true","true","true","true","{""displayGroup"": ""Set Contents""}"
"MPH1111104100","brieftype","1","false","true","true","true","true","true","{""displayGroup"": ""Brief Type""}"
"MPH1111104101","fitbottomwearmen","2","false","true","true","true","true","true","{""displayGroup"": ""Fit""}"
"MPH1111104103","mensleeve","3","false","true","true","true","true","true","{""displayGroup"": ""Sleeve""}"
"MPH1110","multipack","5","false","true","true","true","true","true","{""displayGroup"": ""Multi Pack""}"
"MPH1110","displayproduct","6","false","true","true","true","true","true","{""displayGroup"": ""Display Product Name""}"
"MPH1110","colorapparel","7","false","true","true","true","true","true","{""displayGroup"": ""Color""}"
"MPH1110","packquantity","8","false","true","true","true","true","true","{""displayGroup"": ""Pack Quantity""}"
"MPH1110100105","womenethinicweartopwearsize","1","false","true","true","true","true","true","{""displayGroup"": ""Size""}"
"MPH1110101100","womencasualtopwearsize","3","false","true","true","true","true","true","{""displayGroup"": ""Size""}"
"MPH1110101100","womencasualtopwearsleeve","4","false","true","true","true","true","true","{""displayGroup"": ""Sleeve""}"
"MPH1110101101","womencasualtopwearsize","1","false","true","true","true","true","true","{""displayGroup"": ""Size""}"
"MPH1110101102","denimtreatments","4","false","true","true","true","true","true","{""displayGroup"": ""Denim Treatments""}"
"MPH1110101102","womenbottomwearfit","5","false","true","true","true","true","true","{""displayGroup"": ""Fit""}"
"MPH1110101103","womenpattern","4","false","true","true","true","true","true","{""displayGroup"": ""Pattern""}"
"MPH1110101104","womenpattern","3","false","true","true","true","true","true","{""displayGroup"": ""Pattern""}"
"MPH1110101105","womencasualtopwearneckcollar","3","false","true","true","true","true","true","{""displayGroup"": ""Neck/Collar""}"
"MPH1110101105","womentopwearfit","4","false","true","true","true","true","true","{""displayGroup"": ""Fit""}"
"MPH1110101107","womencasualtopwearsize","4","false","true","true","true","true","true","{""displayGroup"": ""Size""}"
"MPH1110101107","womencasualtopwearneckcollar","5","false","true","true","true","true","true","{""displayGroup"": ""Neck/Collar""}"
"MPH1110101108","waistrise","1","false","true","true","true","true","true","{""displayGroup"": ""Waist Rise""}"
"MPH1110101110","womencasualtopwearsize","3","false","true","true","true","true","true","{""displayGroup"": ""Size""}"
"MPH1110101110","womencasualtopwearneckcollar","4","false","true","true","true","true","true","{""displayGroup"": ""Neck/Collar""}"
"MPH1110101112","waistrise","1","false","true","true","true","true","true","{""displayGroup"": ""Waist Rise""}"
"MPH1110102101","trousertype","2","false","true","true","true","true","true","{""displayGroup"": ""Trouser Type""}"
"MPH1110102102","cut","2","false","true","true","true","true","true","{""displayGroup"": ""Cut""}"
"MPH1110102102","womenformalsetsuitneckcollar","3","false","true","true","true","true","true","{""displayGroup"": ""Neck/Collar""}"
"MPH1110103","womenpattern","2","false","true","true","true","true","true","{""displayGroup"": ""Pattern""}"
"MPH1110103102","womenethinictopwearneckcollar","1","false","true","true","true","true","true","{""displayGroup"": ""Neck/Collar""}"
"MPH1110104","womenfabric","2","false","true","true","true","true","true","{""displayGroup"": ""Fabric Family""}"
"MPH1110104102","womenformalbottomwearsize","2","false","true","true","true","true","true","{""displayGroup"": ""Size""}"
"MPH1110104106","womenethinictopwearneckcollar","1","false","true","true","true","true","true","{""displayGroup"": ""Neck/Collar""}"
"MPH1110105102","womeninnerwearbriefsize","4","false","true","true","true","true","true","{""displayGroup"": ""Size""}"
"MPH1110105102","womenbrapattern","5","false","true","true","true","true","true","{""displayGroup"": ""Pattern""}"
"MPH1110105103","bratype","4","false","true","true","true","true","true","{""displayGroup"": ""Bra Type""}"
"MPH1110105104","sleepwearcoverage","1","false","true","true","true","true","true","{""displayGroup"": ""Length""}"
"MPH1110105109","wiring","4","false","true","true","true","true","true","{""displayGroup"": ""Wiring""}"
"MPH1111","sizechart","9","false","true","true","true","true","true","{""displayGroup"": ""Size chart""}"
"MPH1111","modelfit","10","false","true","true","true","true","true","{""displayGroup"": ""Model fit""}"
"MPH1111","menpattern","11","false","true","true","true","true","true","{""displayGroup"": ""Pattern""}"
"MPH1111100102","menformalsetsuitsize","5","false","true","true","true","true","true","{""displayGroup"": ""Size""}"
"MPH1111101100","fittopwearmen","3","false","true","true","true","true","true","{""displayGroup"": ""Fit""}"
"MPH1111101105","mencasualtopwearsize","1","false","true","true","true","true","true","{""displayGroup"": ""Size""}"
"MPH1111101105","mencasualtopwearcollarneck","2","false","true","true","true","true","true","{""displayGroup"": ""Neck/Collar""}"
"MPH1111101105","mensleeve","3","false","true","true","true","true","true","{""displayGroup"": ""Sleeve""}"
"MPH1111101106","mencasualtopwearcollarneck","2","false","true","true","true","true","true","{""displayGroup"": ""Neck/Collar""}"
"MPH1111101108","fitbottomwearmen","3","false","true","true","true","true","true","{""displayGroup"": ""Fit""}"
"MPH1111102","washcare","2","false","true","true","true","true","true","{""displayGroup"": ""Wash Care""}"
"MPH1111102101","meninnerwearsize","4","false","true","true","true","true","true","{""displayGroup"": ""Size""}"
"MPH1111102102","mensleeve","2","false","true","true","true","true","true","{""displayGroup"": ""Sleeve""}"
"MPH1111103","washcare","1","false","true","true","true","true","true","{""displayGroup"": ""Wash Care""}"
"MPH1111103100","menethinicweartopwearsize","2","false","true","true","true","true","true","{""displayGroup"": ""Size""}"
"MPH1111103101","setitems","2","false","true","true","true","true","true","{""displayGroup"": ""Set Items""}"
"MPH1111103103","menethinicwearsetsize","2","false","true","true","true","true","true","{""displayGroup"": ""Size""}"
"MPH1111103103","menethinicwearcollarneck","3","false","true","true","true","true","true","{""displayGroup"": ""Neck/Collar""}"
"MPH1111103103","mensleeve","4","false","true","true","true","true","true","{""displayGroup"": ""Sleeve""}"
"MPH1111104102","brieftype","2","false","true","true","true","true","true","{""displayGroup"": ""Brief Type""}"
"MPH1111104102","brandfitname","3","false","true","true","true","true","true","{""displayGroup"": ""Brand Fit Name""}"
"MPH1111104104","waistrise","1","false","true","true","true","true","true","{""displayGroup"": ""Waist Rise""}"
"MPH1111104104","meninnerwearcollarneck","2","false","true","true","true","true","true","{""displayGroup"": ""Neck/Collar""}"
"MPH1111104104","fittopwearmen","3","false","true","true","true","true","true","{""displayGroup"": ""Fit""}"
"MPH1110","ageband","9","false","true","true","true","true","true","{""displayGroup"": ""Age Band""}"
"MPH1110100","womenfabric","1","false","true","true","true","true","true","{""displayGroup"": ""Fabric Family""}"
"MPH1110100101","womenethinictopwearneckcollar","5","false","true","true","true","true","true","{""displayGroup"": ""Neck/Collar""}"
"MPH1110100101","womentopwearfit","6","false","true","true","true","true","true","{""displayGroup"": ""Fit""}"
"MPH1110100101","womensleeve","7","false","true","true","true","true","true","{""displayGroup"": ""Sleeve""}"
"MPH1110100101","shapeapparel","8","false","true","true","true","true","true","{""displayGroup"": ""Shape""}"
"MPH1110100101","collectiondateapparel","9","false","true","true","true","true","true","{""displayGroup"": ""Collection Date""}"
"MPH1110100101","others3apparel","10","false","true","true","true","true","true","{""displayGroup"": ""Others 3""}"
"MPH1110100101","collectioninfoapparel","11","false","true","true","true","true","true","{""displayGroup"": ""Collection Info ""}"
"MPH1110100102","setitems","4","false","true","true","true","true","true","{""displayGroup"": ""Set Items""}"
"MPH1110100102","womensleeve","5","false","true","true","true","true","true","{""displayGroup"": ""Sleeve""}"
"MPH1110100104","womenbottomwearfit","2","false","true","true","true","true","true","{""displayGroup"": ""Fit""}"
"MPH1110101101","womentopwearfit","2","false","true","true","true","true","true","{""displayGroup"": ""Fit""}"
"MPH1110101105","womenpattern","5","false","true","true","true","true","true","{""displayGroup"": ""Pattern""}"
"MPH1110101106","womentopwearfit","3","false","true","true","true","true","true","{""displayGroup"": ""Fit""}"
"MPH1110101106","womencasualtopwearsleeve","4","false","true","true","true","true","true","{""displayGroup"": ""Sleeve""}"
"MPH1110101108","womenpattern","2","false","true","true","true","true","true","{""displayGroup"": ""Pattern""}"
"MPH1110101109","dressshape","3","false","true","true","true","true","true","{""displayGroup"": ""Dress Shape""}"
"MPH1110101109","womencasualweardressesjumperssize","4","false","true","true","true","true","true","{""displayGroup"": ""Size""}"
"MPH1110101112","womenbottomwearfit","2","false","true","true","true","true","true","{""displayGroup"": ""Fit""}"
"MPH1110101112","womenpattern","3","false","true","true","true","true","true","{""displayGroup"": ""Pattern""}"
"MPH1110101114","womencasualdressjumperneckcollar","3","false","true","true","true","true","true","{""displayGroup"": ""Neck/Collar""}"
"MPH1110101114","womenpattern","4","false","true","true","true","true","true","{""displayGroup"": ""Pattern""}"
"MPH1110102","washcare","2","false","true","true","true","true","true","{""displayGroup"": ""Wash Care""}"
"MPH1110102","womenfabric","3","false","true","true","true","true","true","{""displayGroup"": ""Fabric Family""}"
"MPH1110102101","womenformalbottomwearsize","3","false","true","true","true","true","true","{""displayGroup"": ""Size""}"
"MPH1110102102","womenformaltopwearsize","4","false","true","true","true","true","true","{""displayGroup"": ""Size""}"
"MPH1110102102","womensleeve","5","false","true","true","true","true","true","{""displayGroup"": ""Sleeve""}"
"MPH1110102103","womenformaltopwearsize","3","false","true","true","true","true","true","{""displayGroup"": ""Size""}"
"MPH1110102104","womenpattern","4","false","true","true","true","true","true","{""displayGroup"": ""Pattern""}"
"MPH1110103101","womeninnerwearbrasize","4","false","true","true","true","true","true","{""displayGroup"": ""Size""}"
"MPH1110103101","womenbriefpattern","5","false","true","true","true","true","true","{""displayGroup"": ""Pattern""}"
"MPH1110104100","womentopwearfit","3","false","true","true","true","true","true","{""displayGroup"": ""Fit""}"
"MPH1110104100","womensleeve","4","false","true","true","true","true","true","{""displayGroup"": ""Sleeve""}"
"MPH1110104102","womenethinictopwearneckcollar","3","false","true","true","true","true","true","{""displayGroup"": ""Neck/Collar""}"
"MPH1110104102","womentopwearfit","4","false","true","true","true","true","true","{""displayGroup"": ""Fit""}"
"MPH1110104102","womenbottomwearfit","5","false","true","true","true","true","true","{""displayGroup"": ""Fit""}"
"MPH1110104102","womensleeve","6","false","true","true","true","true","true","{""displayGroup"": ""Sleeve""}"
"MPH1110105","womenpattern","2","false","true","true","true","true","true","{""displayGroup"": ""Pattern""}"
"MPH1110105100","womenbrieftype","7","false","true","true","true","true","true","{""displayGroup"": ""Brief Type""}"
"MPH1110105100","brafabricfamily","8","false","true","true","true","true","true","{""displayGroup"": ""Fabric Family""}"
"MPH1110105101","womensetcontents","4","false","true","true","true","true","true","{""displayGroup"": ""Set Contents""}"
"MPH1110105101","bracoverage","5","false","true","true","true","true","true","{""displayGroup"": ""Coverage""}"
"MPH1110105102","padding","6","false","true","true","true","true","true","{""displayGroup"": ""Padding""}"
"MPH1110105107","wiring","5","false","true","true","true","true","true","{""displayGroup"": ""Wiring""}"
"MPH1110105109","padding","5","false","true","true","true","true","true","{""displayGroup"": ""Padding""}"
"MPH1110106","sockusage","1","false","true","true","true","true","true","{""displayGroup"": ""Usage""}"
"MPH1111","weightapparel","12","false","true","true","true","true","true","{""displayGroup"": ""Weight""}"
"MPH1111","featureapparel","13","false","true","true","true","true","true","{""displayGroup"": ""Feature""}"
"MPH1111100100","fittopwearmen","2","false","true","true","true","true","true","{""displayGroup"": ""Fit""}"
"MPH1111100101","trousertype","4","false","true","true","true","true","true","{""displayGroup"": ""Trouser Type""}"
"MPH1111100102","mensleeve","6","false","true","true","true","true","true","{""displayGroup"": ""Sleeve""}"
"MPH1111101","washcare","1","false","true","true","true","true","true","{""displayGroup"": ""Wash Care""}"
"MPH1111101101","mencasualtopwearcollarneck","6","false","true","true","true","true","true","{""displayGroup"": ""Neck/Collar""}"
"MPH1111101103","waistrise","2","false","true","true","true","true","true","{""displayGroup"": ""Waist Rise""}"
"MPH1111101103","brandfitname","3","false","true","true","true","true","true","{""displayGroup"": ""Brand Fit Name""}"
"MPH1111101104","fitbottomwearmen","2","false","true","true","true","true","true","{""displayGroup"": ""Fit""}"
"MPH1111101104","brandfitname","3","false","true","true","true","true","true","{""displayGroup"": ""Brand Fit Name""}"
"MPH1111101106","mensleeve","3","false","true","true","true","true","true","{""displayGroup"": ""Sleeve""}"
"MPH1111102104","waistrise","1","false","true","true","true","true","true","{""displayGroup"": ""Waist Rise""}"
"MPH1111102105","fittopwearmen","1","false","true","true","true","true","true","{""displayGroup"": ""Fit""}"
"MPH1111103103","setitems","5","false","true","true","true","true","true","{""displayGroup"": ""Set Items""}"
"MPH1111104100","meninnerwearsize","2","false","true","true","true","true","true","{""displayGroup"": ""Size""}"
"MPH1111104101","brieftype","3","false","true","true","true","true","true","{""displayGroup"": ""Brief Type""}"
"MPH1111104101","meninnerwearsize","4","false","true","true","true","true","true","{""displayGroup"": ""Size""}"
