PIM_Attribute_ID	ClassificationCategory_Code	ClassificationCategory_Name	Classification_SuperCategory_Code
shapeapparel	shapeapparelCC	shapeapparelClassifyingCategory	
collectiondateapparel	collectiondateapparelCC	collectiondateapparelClassifyingCategory	
others3apparel	others3apparelCC	others3apparelClassifyingCategory	
collectioninfoapparel	collectioninfoapparelCC	collectioninfoapparelClassifyingCategory	
dressshape	dressshapeCC	dressshapeClassifyingCategory	
weightapparel	apparelCC	apparelClassifyingCategory	
featureapparel	apparelCC	apparelClassifyingCategory	
withblouse	withblouseCC	withblouseClassifyingCategory	
others1apparel	others1apparelCC	others1apparelClassifyingCategory	
skirtshape	skirtshapeCC	skirtshapeClassifyingCategory	
womenformaltopwearneckcollar	womenformaltopwearneckcollarCC	womenformaltopwearneckcollarClassifyingCategory	
seasonapparel	seasonapparelCC	seasonapparelClassifyingCategory	
lengthapparel	lengthapparelCC	lengthapparelClassifyingCategory	
womenethinicbottomwearpattern	womenethinicbottomwearpatternCC	womenethinicbottomwearpatternClassifyingCategory	
womenformalbottomwearpattern	womenformalbottomwearpatternCC	womenformalbottomwearpatternClassifyingCategory	
nightweartype	nightweartypeCC	nightweartypeClassifyingCategory	
womensleepwearsize	womensleepwearsizeCC	womensleepwearsizeClassifyingCategory	
menethinicwearbottomwearsize	menethinicwearbottomwearsizeCC	menethinicwearbottomwearsizeClassifyingCategory	
womenethinicsetneckcollar	womenethinicsetneckcollarCC	womenethinicsetneckcollarClassifyingCategory	
packcolor	apparelCC	apparelClassifyingCategory	
colorfamilyapparel	apparelCC	apparelClassifyingCategory	
womencasualskirtpattern	womencasualskirtpatternCC	womencasualskirtpatternClassifyingCategory	
womenformalsetsuitpattern	womenformalsetsuitpatternCC	womenformalsetsuitpatternClassifyingCategory	
keytrendsapparel	keytrendsapparelCC	keytrendsapparelClassifyingCategory	
colorgroupapparel	colorgroupapparelCC	colorgroupapparelClassifyingCategory	
sportstypeapparel	sportstypeapparelCC	sportstypeapparelClassifyingCategory	
sleevestylingapparel	sleevestylingapparelCC	sleevestylingapparelClassifyingCategory	
bottomlengthapparel	bottomlengthapparelCC	bottomlengthapparelClassifyingCategory	
blouseclosureapparel	blouseclosureapparelCC	blouseclosureapparelClassifyingCategory	
stitchapparel	stitchapparelCC	stitchapparelClassifyingCategory	
bottomclosureapparel	bottomclosureapparelCC	bottomclosureapparelClassifyingCategory	
dupattapatternapparel	dupattapatternapparelCC	dupattapatternapparelClassifyingCategory	
bottomtypeapparel	bottomtypeapparelCC	bottomtypeapparelClassifyingCategory	
additionaldetails1apparel	additionaldetails1apparelCC	additionaldetails1apparelClassifyingCategory	
additionaldetails2apparel	additionaldetails2apparelCC	additionaldetails2apparelClassifyingCategory	
additionaldetails3apparel	additionaldetails3apparelCC	additionaldetails3apparelClassifyingCategory	
featureapparel	featureapparelCC	featureapparelClassifyingCategory	
